"ID";"DutchEconomy";"Periods";"CO2_1";"N2O_2";"CH4_3";"GreenhouseGasEquivalents_4";"NOx_5";"SO2_6";"NH3_7";"AcidificationEquivalents_8";"CFK12Equivalents_9";"CO_10";"NMVOC_11";"PM10_12"
"43";"1050010";"2004JJ00";"   41551";"     0.9";"    23.4";"   42679";"    70.8";"     0.9";"    16.0";"     2.5";"    24.2";"   469.2";"    88.3";"     9.1"
"44";"1050010";"2005JJ00";"   40721";"     0.9";"    22.9";"   41840";"    66.1";"     0.7";"    16.5";"     2.4";"    21.3";"   462.1";"    86.3";"     8.9"
"45";"1050010";"2006JJ00";"   40818";"     0.9";"    22.9";"   41960";"    61.3";"     0.8";"    16.1";"     2.3";"    18.3";"   457.7";"    84.7";"     8.9"
"46";"1050010";"2007JJ00";"   38792";"     0.8";"    21.2";"   39917";"    57.9";"     0.7";"    15.7";"     2.2";"    15.3";"   459.5";"    85.5";"     8.8"
"47";"1050010";"2008JJ00";"   41077";"     0.8";"    22.9";"   42266";"    56.8";"     0.6";"    14.7";"     2.1";"    12.3";"   456.7";"    83.7";"     8.5"
"48";"1050010";"2009JJ00";"   40919";"     0.8";"    22.7";"   42118";"    54.0";"     0.6";"    14.5";"     2.0";"     9.4";"   449.2";"    82.1";"     8.4"
"49";"1050010";"2010JJ00";"   44225";"     0.8";"    25.1";"   45475";"    53.2";"     0.6";"    14.9";"     2.0";"     6.4";"   442.1";"    81.3";"     8.2"
"50";"1050010";"2011JJ00";"   39170";"     0.8";"    21.4";"   40346";"    49.3";"     0.5";"    15.0";"     2.0";"     3.4";"   433.6";"    78.7";"     7.8"
"51";"1050010";"2012JJ00";"   40008";"     0.7";"    22.2";"   41185";"    47.7";"     0.5";"    15.1";"     1.9";"     0.4";"   418.3";"    78.9";"     7.6"
"52";"1050010";"2013JJ00";"   41091";"     0.7";"    23.1";"   42284";"    46.9";"     0.5";"    15.7";"     2.0";"     0.0";"   413.2";"    78.2";"     7.2"
"53";"1050010";"2014JJ00";"   35989";"     0.7";"    19.5";"   37086";"    43.9";"     0.5";"    15.1";"     1.9";"     0.0";"   403.9";"    76.8";"     7.3"
"54";"1050010";"2015JJ00";"   37292";"     0.7";"    20.3";"   38420";"    44.9";"     0.5";"    15.1";"     1.9";"     0.0";"   405.7";"    75.9";"     6.9"
